policy,block,episode,seed,random_action_seed,score,steps,steps_survived,food_collected,snake_length,steps_since_food,cause_of_death,end_reason,won,terminated,truncated,turn_ratio,episode_reward
Classic,500000,7,500006,,250,462,461,25,28,33,self,self,False,True,False,0.6428571428571429,235.6400000000011
Classic,500000,8,500007,,210,319,318,21,24,13,self,self,False,True,False,0.6520376175548589,197.030000000001
Classic,500000,9,500008,,330,634,633,33,36,7,self,self,False,True,False,0.5962145110410094,314.00000000000273
Classic,500000,10,500009,,380,797,796,38,41,20,self,self,False,True,False,0.6223337515683814,362.4200000000033
Classic,500000,11,500010,,430,672,671,43,46,20,self,self,False,True,False,0.5788690476190477,413.7200000000043
Classic,500000,12,500011,,500,957,956,50,53,23,self,self,False,True,False,0.6269592476489029,480.9400000000054
Classic,500000,13,500012,,180,256,255,18,21,10,self,self,False,True,False,0.5234375,167.63
Classic,500000,14,500013,,390,640,639,39,42,32,self,self,False,True,False,0.6078125,374.00000000000335
Classic,500000,15,500014,,430,757,756,43,46,34,self,self,False,True,False,0.6565389696169088,412.8700000000042
Classic,500000,16,500015,,250,453,452,25,28,17,self,self,False,True,False,0.6313465783664459,235.73000000000155
Classic,500000,17,500016,,360,664,663,36,39,7,self,self,False,True,False,0.5572289156626506,343.73000000000246
Classic,500000,18,500017,,320,529,528,32,35,6,self,self,False,True,False,0.5463137996219282,305.0400000000019
Classic,500000,19,500018,,260,510,509,26,29,16,self,self,False,True,False,0.6509803921568628,245.170000000002
Classic,500000,20,500019,,200,283,282,20,23,8,wall,wall,False,True,False,0.6148409893992933,187.3800000000004
Classic,500000,21,500020,,260,403,402,26,29,7,self,self,False,True,False,0.6501240694789082,246.24000000000098
Classic,500000,22,500021,,220,285,284,22,25,4,self,self,False,True,False,0.6105263157894737,207.38000000000068
Classic,500000,23,500022,,220,356,355,22,25,7,self,self,False,True,False,0.6432584269662921,206.67000000000075
Classic,500000,24,500023,,160,241,240,16,19,1,self,self,False,True,False,0.5933609958506224,147.75999999999985
Classic,500000,25,500024,,230,399,398,23,26,9,self,self,False,True,False,0.556390977443609,216.25000000000045
Classic,500000,26,500025,,160,185,184,16,19,9,self,self,False,True,False,0.6270270270270271,148.32000000000005
Classic,500000,27,500026,,410,687,686,41,44,3,self,self,False,True,False,0.5560407569141194,393.5500000000033
Classic,500000,28,500027,,350,641,640,35,38,28,self,self,False,True,False,0.6271450858034321,333.9500000000036
Classic,500000,29,500028,,480,879,878,48,51,21,self,self,False,True,False,0.6325369738339022,461.7000000000059
